levelValue,URI,package,label,comment
0,domain#000000,domain#000000,Very Low,12345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678123456781234567812345678
0,domain#TrustworthinessLevelVeryLow,package#Core,Very Low, Likely to fail or otherwise cause problems within minutes.
1,domain#TrustworthinessLevelLow,package#Core,Low, Likely to fail or otherwise cause problems within hours to days.
2,domain#TrustworthinessLevelMedium,package#Core,Medium, Likely to fail or otherwise cause problems every year or so.
3,domain#TrustworthinessLevelHigh,package#Core,High,May fail or otherwise cause problems within the lifetime of a typical system.
4,domain#TrustworthinessLevelVeryHigh,package#Core,Very High,Unlikely to fail or otherwise cause problems within the lifetime of a typical system.
5,domain#TrustworthinessLevelSafe,package#Core,Safe,Will never fail or otherwise cause problems.
